,precision,recall,f1-score,support,pre_count
standing,0.0,0.0,0.0,0.0,16.0
sitting,0.8506944444444446,0.875,0.8434193121693125,96.0,101.0
lying down,0.0,0.0,0.0,0.0,0.0
squat,0.0,0.0,0.0,0.0,0.0
body forward (including sideways),0.44583333333333347,1.0,0.6140873015873014,48.0,110.0
body backward,0.16666666666666666,0.08333333333333333,0.1111111111111111,48.0,4.0
upper body leaning forward,0.4743055555555556,0.8541666666666666,0.5847222222222221,48.0,93.0
upper body leaning backward,0.0,0.0,0.0,0.0,0.0
upper body vertical,0.3125,0.22916666666666666,0.25,48.0,17.0
upper body stopped,0.8416666666666668,0.9375,0.8787698412698415,96.0,108.0
upper body moving,0.0,0.0,0.0,0.0,5.0
hand above head,0.0,0.0,0.0,0.0,0.0
hand rest chin in,0.0,0.0,0.0,0.0,0.0
hand touch forehead,0.0,0.0,0.0,0.0,0.0
hand touch ear (put on earphones),0.0,0.0,0.0,0.0,0.0
hand touch chin,0.0,0.0,0.0,0.0,0.0
hand behind head,0.0,0.0,0.0,0.0,0.0
hand behind hip,0.0,0.0,0.0,0.0,0.0
hand under chest,0.0,0.0,0.0,0.0,0.0
hand near computer,0.0,0.0,0.0,61.0,1.0
hand near whiteboard,0.0,0.0,0.0,0.0,1.0
wrist stopped,0.1875,0.10416666666666667,0.13194444444444442,49.0,10.0
wrist moving (mouse operation),0.0,0.0,0.0,24.0,0.0
wrist moving (gesture),0.0,0.0,0.0,0.0,0.0
wrist moving (eating/drinking),0.0,0.0,0.0,0.0,0.0
wrist moving (writing on a whiteboard),0.0,0.0,0.0,0.0,0.0
wrist moving (writing on a desk),0.0,0.0,0.0,0.0,0.0
wrist moving (other),0.0,0.0,0.0,5.0,1.0
wrist put sticky note on wallpaper,0.0,0.0,0.0,0.0,0.0
wrist put sticky note on a desk,0.0,0.0,0.0,0.0,0.0
wrist moving (erase on a whiteboard),0.0,0.0,0.0,0.0,0.0
face front to body,0.8583333333333335,1.0,0.9194444444444447,96.0,114.0
face right to body,0.0,0.0,0.0,0.0,0.0
face left to body,0.0,0.0,0.0,0.0,0.0
face upward (looking up),0.0,0.0,0.0,0.0,0.0
"face down (looking at PC, etc.)",0.8680555555555558,0.9375,0.8947751322751324,96.0,105.0
face slanting (tilting head),0.0,0.0,0.0,0.0,0.0
face stopped,0.8583333333333335,1.0,0.9194444444444447,96.0,114.0
face nod,0.0,0.0,0.0,0.0,0.0
face sideways,0.0,0.0,0.0,0.0,0.0
eyes looking (PC),0.5208333333333334,0.4305555555555555,0.4547619047619047,72.0,50.0
eyes looking (smartphone),0.0,0.0,0.0,0.0,0.0
eyes looking (document),0.0,0.0,0.0,24.0,0.0
"eyes looking (books, magazines)",0.0,0.0,0.0,0.0,0.0
eyes looking (whiteboard),0.0,0.0,0.0,0.0,0.0
eyes looking (display),0.0,0.0,0.0,0.0,0.0
eyes looking (person),0.0,0.0,0.0,0.0,3.0
eyes closed,0.0,0.0,0.0,0.0,0.0
eyes looking (other),0.0,0.0,0.0,0.0,0.0
hand holding (pc),0.0,0.0,0.0,0.0,0.0
hand holding (smartphone),0.0,0.0,0.0,17.0,0.0
"hand holding (documents, books, magazines)",0.0,0.0,0.0,12.0,0.0
"hand holding (chopsticks, spoon, lunch box, bread, rice ball)",0.0,0.0,0.0,0.0,0.0
hand holding (snacks),0.0,0.0,0.0,0.0,0.0
"hand holding (cup, tumbler, plastic bottle, drink with straw)",0.0,0.0,0.0,0.0,0.0
hand holding (tool),0.0,0.0,0.0,0.0,0.0
hand holding (pen),0.0,0.0,0.0,3.0,1.0
hand holding (whiteboard eraser),0.0,0.0,0.0,0.0,0.0
hand holding (other),0.0,0.0,0.0,0.0,0.0
walking,0.0,0.0,0.0,0.0,1.0
"gymnastics (stretching, radio calisthenics, yoga)",0.0,0.0,0.0,0.0,0.0
meditation,0.0,0.0,0.0,0.0,0.0
conversation,0.0,0.0,0.0,0.0,22.0
at work (other than talking),0.5916666666666666,0.8194444444444443,0.6778769841269839,72.0,100.0
drink,0.0,0.0,0.0,0.0,0.0
eat,0.0,0.0,0.0,0.0,0.0
PC typing,0.0,0.0,0.0,16.0,0.0
product assembly,0.0,0.0,0.0,0.0,0.0
unpacking and packing,0.0,0.0,0.0,0.0,0.0
not clear,0.0,0.0,0.0,0.0,0.0
others,0.041666666666666664,0.020833333333333332,0.027777777777777776,29.0,5.0
phone,0.0,0.0,0.0,18.0,0.0
micro avg,0.6819509008680381,0.6115153613054726,0.6408871285990833,1074.0,
macro avg,0.0974729938271605,0.11516203703703702,0.10150187389770725,1074.0,
weighted avg,0.5300922452627849,0.6115153613054726,0.5516722568729466,1074.0,
samples avg,0.6837086640211639,0.5276281241906241,0.5934891020691458,1074.0,
